          min -3.12958e-027  max 24.103
  -- Solve :
          min -3.17164e-027  max 24.4277
  -- Solve :
          min -3.1678e-027  max 24.398
  -- Solve :
          min -3.16396e-027  max 24.3684
  -- Solve :
          min -3.16012e-027  max 24.3387
  -- Solve :
          min -3.15629e-027  max 24.3091
  -- Solve :
          min -3.15246e-027  max 24.2796
  -- Solve :
          min -3.14863e-027  max 24.2501
  -- Solve :
          min -3.14482e-027  max 24.2206
  -- Solve :
          min -3.141e-027  max 24.1912
  -- Solve :
          min -3.13719e-027  max 24.1618
  -- Solve :
          min -3.13339e-027  max 24.1324
  -- Solve :
          min -3.12958e-027  max 24.103
  -- Solve :
          min -3.12579e-027  max 24.0737
  -- Solve :
          min -3.122e-027  max 24.0445
  -- Solve :
          min -3.11821e-027  max 24.0152
  -- Solve :
          min -3.11443e-027  max 23.986
  -- Solve :
          min -3.11065e-027  max 23.9569
  -- Solve :
          min -3.10687e-027  max 23.9278
  -- Solve :
          min -3.1031e-027  max 23.8987
  -- Solve :
          min -3.09934e-027  max 23.8696
  -- Solve :
          min -3.09558e-027  max 23.8406
  -- Solve :
          min -3.09182e-027  max 23.8116
  -- Solve :
          min -3.08807e-027  max 23.7827
  -- Solve :
          min -3.08432e-027  max 23.7537
  -- Solve :
          min -3.08058e-027  max 23.7249
  -- Solve :
          min -3.07684e-027  max 23.696
  -- Solve :
          min -3.07311e-027  max 23.6672
  -- Solve :
          min -3.06938e-027  max 23.6384
  -- Solve :
          min -3.06565e-027  max 23.6097
  -- Solve :
          min -3.06193e-027  max 23.581
  -- Solve :
          min -3.05822e-027  max 23.5523
  -- Solve :
          min -3.0545e-027  max 23.5237
  -- Solve :
          min -3.0508e-027  max 23.4951
  -- Solve :
          min -3.04709e-027  max 23.4665
  -- Solve :
          min -3.04339e-027  max 23.438
  -- Solve :
          min -3.0397e-027  max 23.4095
  -- Solve :
          min -3.03601e-027  max 23.381
  -- Solve :
          min -3.03233e-027  max 23.3526
  -- Solve :
          min -3.02864e-027  max 23.3242
  -- Solve :
          min -3.02497e-027  max 23.2958
  -- Solve :
          min -3.02129e-027  max 23.2675
  -- Solve :
          min -3.01763e-027  max 23.2392
  -- Solve :
          min -3.01396e-027  max 23.2109
  -- Solve :
          min -3.0103e-027  max 23.1827
  -- Solve :
          min -3.00665e-027  max 23.1545
  -- Solve :
          min -3.003e-027  max 23.1263
  -- Solve :
          min -2.99935e-027  max 23.0982
  -- Solve :
          min -2.99571e-027  max 23.0701
  -- Solve :
          min -2.99207e-027  max 23.0421
  -- Solve :
          min -2.98844e-027  max 23.014
  -- Solve :
          min -2.98481e-027  max 22.986
  -- Solve :
          min -2.98119e-027  max 22.9581
  -- Solve :
          min -2.97757e-027  max 22.9302
  -- Solve :
          min -2.97395e-027  max 22.9023
  -- Solve :
          min -2.97034e-027  max 22.8744
  -- Solve :
          min -2.96673e-027  max 22.8466
  -- Solve :
          min -2.96313e-027  max 22.8188
  -- Solve :
          min -2.95953e-027  max 22.7911
  -- Solve :
          min -2.95593e-027  max 22.7633
  -- Solve :
          min -2.95234e-027  max 22.7357
  -- Solve :
          min -2.94876e-027  max 22.708
  -- Solve :
          min -2.94518e-027  max 22.6804
  -- Solve :
          min -2.9416e-027  max 22.6528
  -- Solve :
          min -2.93802e-027  max 22.6252
  -- Solve :
          min -2.93446e-027  max 22.5977
  -- Solve :
          min -2.93089e-027  max 22.5702
  -- Solve :
          min -2.92733e-027  max 22.5428
  -- Solve :
          min -2.92377e-027  max 22.5154
  -- Solve :
          min -2.92022e-027  max 22.488
  -- Solve :
          min -2.91667e-027  max 22.4606
  -- Solve :
          min -2.91313e-027  max 22.4333
  -- Solve :
          min -2.90959e-027  max 22.406
  -- Solve :
          min -2.90606e-027  max 22.3787
  -- Solve :
          min -2.90253e-027  max 22.3515
  -- Solve :
          min -2.899e-027  max 22.3243
  -- Solve :
          min -2.89548e-027  max 22.2972
  -- Solve :
          min -2.89196e-027  max 22.27
  -- Solve :
          min -2.88844e-027  max 22.243
  -- Solve :
          min -2.88493e-027  max 22.2159
  -- Solve :
          min -2.88143e-027  max 22.1889
  -- Solve :
          min -2.87793e-027  max 22.1619
  -- Solve :
          min -2.87443e-027  max 22.1349
  -- Solve :
          min -2.87094e-027  max 22.108
  -- Solve :
          min -2.86745e-027  max 22.0811
  -- Solve :
          min -2.86396e-027  max 22.0542
  -- Solve :
          min -2.86048e-027  max 22.0274
  -- Solve :
          min -2.85701e-027  max 22.0006
  -- Solve :
          min -2.85353e-027  max 21.9738
  -- Solve :
          min -2.85007e-027  max 21.9471
  -- Solve :
          min -2.8466e-027  max 21.9204
  -- Solve :
          min -2.84314e-027  max 21.8937
  -- Solve :
          min -2.83969e-027  max 21.8671
  -- Solve :
          min -2.83623e-027  max 21.8405
  -- Solve :
          min -2.83279e-027  max 21.8139
  -- Solve :
          min -2.82934e-027  max 21.7873
  -- Solve :
          min -2.8259e-027  max 21.7608
  -- Solve :
          min -2.82247e-027  max 21.7344
  -- Solve :
          min -2.81904e-027  max 21.7079
  -- Solve :
          min -2.81561e-027  max 21.6815
  -- Solve :
          min -2.81219e-027  max 21.6551
  -- Solve :
          min -2.80877e-027  max 21.6288
  -- Solve :
          min -2.80535e-027  max 21.6024
  -- Solve :
          min -2.80194e-027  max 21.5761
  -- Solve :
          min -2.79854e-027  max 21.5499
  -- Solve :
          min -2.79513e-027  max 21.5237
  -- Solve :
          min -2.79174e-027  max 21.4975
  -- Solve :
          min -2.78834e-027  max 21.4713
  -- Solve :
          min -2.78495e-027  max 21.4452
  -- Solve :
          min -2.78157e-027  max 21.4191
  -- Solve :
          min -2.77818e-027  max 21.393
  -- Solve :
          min -2.77481e-027  max 21.367
  -- Solve :
          min -2.77143e-027  max 21.341
  -- Solve :
          min -2.76806e-027  max 21.315
  -- Solve :
          min -2.7647e-027  max 21.2891
  -- Solve :
          min -2.76133e-027  max 21.2632
  -- Solve :
          min -2.75798e-027  max 21.2373
  -- Solve :
          min -2.75462e-027  max 21.2114
  -- Solve :
          min -2.75127e-027  max 21.1856
  -- Solve :
          min -2.74793e-027  max 21.1598
  -- Solve :
          min -2.74458e-027  max 21.1341
  -- Solve :
          min -2.74125e-027  max 21.1084
  -- Solve :
          min -2.73791e-027  max 21.0827
  -- Solve :
          min -2.73458e-027  max 21.057
  -- Solve :
          min -2.73126e-027  max 21.0314
  -- Solve :
          min -2.72793e-027  max 21.0058
  -- Solve :
          min -2.72462e-027  max 20.9802
  -- Solve :
          min -2.7213e-027  max 20.9547
  -- Solve :
          min -2.71799e-027  max 20.9292
  -- Solve :
          min -2.71469e-027  max 20.9037
  -- Solve :
          min -2.71138e-027  max 20.8782
  -- Solve :
          min -2.70809e-027  max 20.8528
  -- Solve :
          min -2.70479e-027  max 20.8274
  -- Solve :
          min -2.7015e-027  max 20.8021
  -- Solve :
          min -2.69821e-027  max 20.7768
  -- Solve :
          min -2.69493e-027  max 20.7515
  -- Solve :
          min -2.69165e-027  max 20.7262
  -- Solve :
          min -2.68838e-027  max 20.701
  -- Solve :
          min -2.68511e-027  max 20.6758
  -- Solve :
          min -2.68184e-027  max 20.6506
  -- Solve :
          min -2.67858e-027  max 20.6255
  -- Solve :
          min -2.67532e-027  max 20.6004
  -- Solve :
          min -2.67207e-027  max 20.5753
  -- Solve :
          min -2.66881e-027  max 20.5502
  -- Solve :
          min -2.66557e-027  max 20.5252
  -- Solve :
          min -2.66232e-027  max 20.5002
  -- Solve :
          min -2.65909e-027  max 20.4753
  -- Solve :
          min -2.65585e-027  max 20.4503
  -- Solve :
          min -2.65262e-027  max 20.4254
  -- Solve :
          min -2.64939e-027  max 20.4006
  -- Solve :
          min -2.64617e-027  max 20.3757
  -- Solve :
          min -2.64295e-027  max 20.3509
  -- Solve :
          min -2.63973e-027  max 20.3262
  -- Solve :
          min -2.63652e-027  max 20.3014
  -- Solve :
          min -2.63331e-027  max 20.2767
  -- Solve :
          min -2.63011e-027  max 20.252
  -- Solve :
          min -2.6269e-027  max 20.2273
  -- Solve :
          min -2.62371e-027  max 20.2027
  -- Solve :
          min -2.62051e-027  max 20.1781
  -- Solve :
          min -2.61733e-027  max 20.1535
  -- Solve :
          min -2.61414e-027  max 20.129
  -- Solve :
          min -2.61096e-027  max 20.1045
  -- Solve :
          min -2.60778e-027  max 20.08
  -- Solve :
          min -2.60461e-027  max 20.0556
  -- Solve :
          min -2.60144e-027  max 20.0311
  -- Solve :
          min -2.59827e-027  max 20.0067
  -- Solve :
          min -2.59511e-027  max 19.9824
  -- Solve :
          min -2.59195e-027  max 19.958
  -- Solve :
          min -2.5888e-027  max 19.9337
  -- Solve :
          min -2.58564e-027  max 19.9095
  -- Solve :
          min -2.5825e-027  max 19.8852
  -- Solve :
          min -2.57935e-027  max 19.861
  -- Solve :
          min -2.57621e-027  max 19.8368
  -- Solve :
          min -2.57308e-027  max 19.8127
  -- Solve :
          min -2.56995e-027  max 19.7885
  -- Solve :
          min -2.56682e-027  max 19.7644
  -- Solve :
          min -2.56369e-027  max 19.7404
  -- Solve :
          min -2.56057e-027  max 19.7163
  -- Solve :
          min -2.55745e-027  max 19.6923
  -- Solve :
          min -2.55434e-027  max 19.6683
  -- Solve :
          min -2.55123e-027  max 19.6444
  -- Solve :
          min -2.54813e-027  max 19.6204
  -- Solve :
          min -2.54502e-027  max 19.5965
  -- Solve :
          min -2.54192e-027  max 19.5727
  -- Solve :
          min -2.53883e-027  max 19.5488
  -- Solve :
          min -2.53574e-027  max 19.525
  -- Solve :
          min -2.53265e-027  max 19.5013
  -- Solve :
          min -2.52957e-027  max 19.4775
  -- Solve :
          min -2.52649e-027  max 19.4538
  -- Solve :
          min -2.52341e-027  max 19.4301
  -- Solve :
          min -2.52034e-027  max 19.4064
  -- Solve :
          min -2.51727e-027  max 19.3828
  -- Solve :
          min -2.51421e-027  max 19.3592
  -- Solve :
          min -2.51114e-027  max 19.3356
  -- Solve :
          min -2.50809e-027  max 19.312
  -- Solve :
          min -2.50503e-027  max 19.2885
  -- Solve :
          min -2.50198e-027  max 19.265
  -- Solve :
          min -2.49894e-027  max 19.2415
  -- Solve :
          min -2.49589e-027  max 19.2181
  -- Solve :
          min -2.49285e-027  max 19.1947
  -- Solve :
          min -2.48982e-027  max 19.1713
  -- Solve :
          min -2.48679e-027  max 19.148
  -- Solve :
          min -2.48376e-027  max 19.1246
  -- Solve :
          min -2.48073e-027  max 19.1013
  -- Solve :
          min -2.47771e-027  max 19.0781
  -- Solve :
          min -2.47469e-027  max 19.0548
  -- Solve :
          min -2.47168e-027  max 19.0316
  -- Solve :
          min -2.46867e-027  max 19.0084
  -- Solve :
          min -2.46566e-027  max 18.9853
  -- Solve :
          min -2.46266e-027  max 18.9621
  -- Solve :
          min -2.45966e-027  max 18.939
  -- Solve :
          min -2.45666e-027  max 18.916
  -- Solve :
          min -2.45367e-027  max 18.8929
  -- Solve :
          min -2.45068e-027  max 18.8699
  -- Solve :
          min -2.4477e-027  max 18.8469
  -- Solve :
          min -2.44472e-027  max 18.8239
  -- Solve :
          min -2.44174e-027  max 18.801
  -- Solve :
          min -2.43877e-027  max 18.7781
  -- Solve :
          min -2.43579e-027  max 18.7552
  -- Solve :
          min -2.43283e-027  max 18.7324
  -- Solve :
          min -2.42986e-027  max 18.7095
  -- Solve :
          min -2.4269e-027  max 18.6867
  -- Solve :
          min -2.42395e-027  max 18.664
  -- Solve :
          min -2.421e-027  max 18.6412
  -- Solve :
          min -2.41805e-027  max 18.6185
  -- Solve :
          min -2.4151e-027  max 18.5958
  -- Solve :
          min -2.41216e-027  max 18.5732
  -- Solve :
          min -2.40922e-027  max 18.5505
  -- Solve :
          min -2.40628e-027  max 18.5279
  -- Solve :
          min -2.40335e-027  max 18.5054
  -- Solve :
          min -2.40043e-027  max 18.4828
  -- Solve :
          min -2.3975e-027  max 18.4603
  -- Solve :
          min -2.39458e-027  max 18.4378
  -- Solve :
          min -2.39166e-027  max 18.4153
  -- Solve :
          min -2.38875e-027  max 18.3929
  -- Solve :
          min -2.38584e-027  max 18.3705
  -- Solve :
          min -2.38293e-027  max 18.3481
  -- Solve :
          min -2.38003e-027  max 18.3257
  -- Solve :
          min -2.37713e-027  max 18.3034
  -- Solve :
          min -2.37423e-027  max 18.2811
  -- Solve :
          min -2.37134e-027  max 18.2588
  -- Solve :
          min -2.36845e-027  max 18.2366
  -- Solve :
          min -2.36556e-027  max 18.2143
  -- Solve :
          min -2.36268e-027  max 18.1921
  -- Solve :
          min -2.3598e-027  max 18.17
  -- Solve :
          min -2.35693e-027  max 18.1478
  -- Solve :
          min -2.35405e-027  max 18.1257
  -- Solve :
          min -2.35119e-027  max 18.1036
  -- Solve :
          min -2.34832e-027  max 18.0815
  -- Solve :
          min -2.34546e-027  max 18.0595
  -- Solve :
          min -2.3426e-027  max 18.0375
  -- Solve :
          min -2.33975e-027  max 18.0155
  -- Solve :
          min -2.3369e-027  max 17.9935
  -- Solve :
          min -2.33405e-027  max 17.9716
  -- Solve :
          min -2.3312e-027  max 17.9497
  -- Solve :
          min -2.32836e-027  max 17.9278
  -- Solve :
          min -2.32552e-027  max 17.906
  -- Solve :
          min -2.32269e-027  max 17.8842
  -- Solve :
          min -2.31986e-027  max 17.8624
  -- Solve :
          min -2.31703e-027  max 17.8406
  -- Solve :
          min -2.31421e-027  max 17.8188
  -- Solve :
          min -2.31139e-027  max 17.7971
  -- Solve :
          min -2.30857e-027  max 17.7754
  -- Solve :
          min -2.30576e-027  max 17.7537
  -- Solve :
          min -2.30295e-027  max 17.7321
  -- Solve :
          min -2.30014e-027  max 17.7105
  -- Solve :
          min -2.29734e-027  max 17.6889
  -- Solve :
          min -2.29454e-027  max 17.6673
  -- Solve :
          min -2.29174e-027  max 17.6458
  -- Solve :
          min -2.28895e-027  max 17.6243
  -- Solve :
          min -2.28616e-027  max 17.6028
  -- Solve :
          min -2.28337e-027  max 17.5813
  -- Solve :
          min -2.28059e-027  max 17.5599
  -- Solve :
          min -2.27781e-027  max 17.5385
  -- Solve :
          min -2.27503e-027  max 17.5171
  -- Solve :
          min -2.27226e-027  max 17.4958
  -- Solve :
          min -2.26949e-027  max 17.4744
  -- Solve :
          min -2.26672e-027  max 17.4531
  -- Solve :
          min -2.26396e-027  max 17.4319
  -- Solve :
          min -2.2612e-027  max 17.4106
  -- Solve :
          min -2.25844e-027  max 17.3894
  -- Solve :
          min -2.25569e-027  max 17.3682
  -- Solve :
          min -2.25294e-027  max 17.347
  -- Solve :
          min -2.25019e-027  max 17.3258
  -- Solve :
          min -2.24745e-027  max 17.3047
  -- Solve :
          min -2.24471e-027  max 17.2836
  -- Solve :
          min -2.24197e-027  max 17.2625
  -- Solve :
          min -2.23924e-027  max 17.2415
  -- Solve :
          min -2.23651e-027  max 17.2205
  -- Solve :
          min -2.23378e-027  max 17.1995
  -- Solve :
          min -2.23106e-027  max 17.1785
  -- Solve :
          min -2.22834e-027  max 17.1576
  -- Solve :
          min -2.22562e-027  max 17.1366
  -- Solve :
          min -2.22291e-027  max 17.1157
  -- Solve :
          min -2.2202e-027  max 17.0949
  -- Solve :
          min -2.21749e-027  max 17.074
  -- Solve :
          min -2.21478e-027  max 17.0532
  -- Solve :
          min -2.21208e-027  max 17.0324
  -- Solve :
